time,signal
5.399999999999999939e-02,9.078457720392016372e-02
5.500000000000000028e-02,8.725581188323955351e-02
5.600000000000000117e-02,1.039345620101414097e-01
5.700000000000000205e-02,1.455428424980042545e-01
5.800000000000000294e-02,1.532917225244039838e-01
5.900000000000000383e-02,2.262724197584607966e-01
5.999999999999999778e-02,2.242068045230903861e-01
6.099999999999999867e-02,2.750203160948422321e-01
6.199999999999999956e-02,3.031660751068389059e-01
6.300000000000000044e-02,3.080547595925202109e-01
6.400000000000000133e-02,3.665700279054802113e-01
6.500000000000000222e-02,3.563699785352624216e-01
6.600000000000000311e-02,3.555669718843498250e-01
6.700000000000000400e-02,3.132963923935618289e-01
6.800000000000000488e-02,3.005581541898122988e-01
6.900000000000000577e-02,2.877419658803438973e-01
7.000000000000000666e-02,2.897515450287314609e-01
7.100000000000000755e-02,2.812407244800935180e-01
7.200000000000000844e-02,1.777716672715773938e-01
7.299999999999999545e-02,1.939581782857770498e-01
7.399999999999999634e-02,1.774946645760577812e-01
7.499999999999999722e-02,1.859584846760479471e-01
7.599999999999999811e-02,2.137117279552960269e-01
7.699999999999999900e-02,2.292159938255187712e-01
7.799999999999999989e-02,2.337303597076069439e-01
7.900000000000000078e-02,2.497880749884395235e-01
8.000000000000000167e-02,3.139084480544085398e-01
8.100000000000000255e-02,3.439381910331258396e-01
8.200000000000000344e-02,3.695621202025604068e-01
8.300000000000000433e-02,3.830812003104728247e-01
8.400000000000000522e-02,4.030943093979648673e-01
8.500000000000000611e-02,4.345719104829104396e-01
8.600000000000000699e-02,3.762627710191902008e-01
8.700000000000000788e-02,4.273725781321409123e-01
8.799999999999999489e-02,3.855262650460598017e-01
8.899999999999999578e-02,3.659375672838220961e-01
8.999999999999999667e-02,3.436553653561695842e-01
9.099999999999999756e-02,3.175618530854348309e-01
9.199999999999999845e-02,2.422272808130404853e-01
9.299999999999999933e-02,2.819209165948871609e-01
9.400000000000000022e-02,2.407773154265452353e-01
9.500000000000000111e-02,2.591331060117169072e-01
9.600000000000000200e-02,2.347910820885178440e-01
9.700000000000000289e-02,2.940274643978481039e-01
9.800000000000000377e-02,2.853951703409051133e-01
9.900000000000000466e-02,3.100048932300228377e-01
1.000000000000000056e-01,3.694338037520504825e-01
1.010000000000000064e-01,4.443281177614918365e-01
1.020000000000000073e-01,4.206632882013314756e-01
1.030000000000000082e-01,5.049791714734932491e-01
1.040000000000000091e-01,5.033294760113400379e-01
1.049999999999999961e-01,4.835341167535084361e-01
1.059999999999999970e-01,4.810673444944220667e-01
1.069999999999999979e-01,4.613013546050919733e-01
1.079999999999999988e-01,4.227850240685291361e-01
1.089999999999999997e-01,4.446313554488392494e-01
1.100000000000000006e-01,3.725601739511903987e-01
1.110000000000000014e-01,4.207870618677506114e-01
1.120000000000000023e-01,3.205775847353476982e-01
1.130000000000000032e-01,3.067632933546671770e-01
1.140000000000000041e-01,2.913982099714022000e-01
1.150000000000000050e-01,2.808836717122116244e-01
1.160000000000000059e-01,3.109309675186501254e-01
1.170000000000000068e-01,3.480785014208540584e-01
1.180000000000000077e-01,3.427791142497194632e-01
1.190000000000000085e-01,3.953237606059016862e-01
1.199999999999999956e-01,4.443271750799906439e-01
1.209999999999999964e-01,4.746058860003742330e-01
1.219999999999999973e-01,4.706172858492093658e-01
1.229999999999999982e-01,5.185629477806238397e-01
1.239999999999999991e-01,5.004750862036715375e-01
1.250000000000000000e-01,5.407040368549750342e-01
1.260000000000000009e-01,5.688575705488773115e-01
1.270000000000000018e-01,5.123829156314492206e-01
1.280000000000000027e-01,5.046628747889708722e-01
1.290000000000000036e-01,4.641274084498080432e-01
1.300000000000000044e-01,4.265979476643761981e-01
1.310000000000000053e-01,3.695021690421887994e-01
1.320000000000000062e-01,3.857635537752626687e-01
1.330000000000000071e-01,3.447362341086900872e-01
1.340000000000000080e-01,3.215194167000268166e-01
1.350000000000000089e-01,3.615245475642374640e-01
1.360000000000000098e-01,3.946254137404714424e-01
1.370000000000000107e-01,3.838781640951787200e-01
1.380000000000000115e-01,3.698816171648260931e-01
1.390000000000000124e-01,4.051851506079253706e-01
1.400000000000000133e-01,4.745885807295041059e-01
1.410000000000000142e-01,4.417024287434966334e-01
1.420000000000000151e-01,5.486786630006945664e-01
1.430000000000000160e-01,5.516459299157628893e-01
1.440000000000000169e-01,5.659468152391566864e-01
1.449999999999999900e-01,5.672530254029684027e-01
1.459999999999999909e-01,5.504427192075082020e-01
1.469999999999999918e-01,5.168334754147171362e-01
1.479999999999999927e-01,5.261188744419901253e-01
1.489999999999999936e-01,4.729217857839183581e-01
1.499999999999999944e-01,4.978830332866792663e-01
1.509999999999999953e-01,4.421880197817838476e-01
1.519999999999999962e-01,4.276009928936307380e-01
1.529999999999999971e-01,3.701378811514775546e-01
1.539999999999999980e-01,3.828559801960303433e-01
1.549999999999999989e-01,3.474389863896536479e-01
1.559999999999999998e-01,3.921425172203309995e-01
1.570000000000000007e-01,3.985783394011562786e-01
1.580000000000000016e-01,4.197396975111209461e-01
1.590000000000000024e-01,4.810323209709773673e-01
1.600000000000000033e-01,4.393237174497521269e-01
1.610000000000000042e-01,5.291251748690959378e-01
1.620000000000000051e-01,5.704422481760139663e-01
1.630000000000000060e-01,5.525137245060498525e-01
1.640000000000000069e-01,6.249465943716328020e-01
1.650000000000000078e-01,5.983082354761550814e-01
1.660000000000000087e-01,5.804155951042172523e-01
1.670000000000000095e-01,5.921988732567138314e-01
1.680000000000000104e-01,5.801238671264313806e-01
1.690000000000000113e-01,5.145436727779258979e-01
1.700000000000000122e-01,4.797234870327123923e-01
1.710000000000000131e-01,4.737761681989551277e-01
1.720000000000000140e-01,4.551521954526344671e-01
1.730000000000000149e-01,4.518788536899025488e-01
1.740000000000000158e-01,3.846784492709148795e-01
1.750000000000000167e-01,3.855734901639389367e-01
1.759999999999999898e-01,3.918851483226432064e-01
1.769999999999999907e-01,4.181836394230477039e-01
1.779999999999999916e-01,4.630559382802913460e-01
1.789999999999999925e-01,4.628236354891156479e-01
1.799999999999999933e-01,5.046037109488301642e-01
1.809999999999999942e-01,5.096646647958366083e-01
1.819999999999999951e-01,5.519052235763421965e-01
1.829999999999999960e-01,5.840143241247531813e-01
1.839999999999999969e-01,6.118599353437239596e-01
1.849999999999999978e-01,5.945144913304346579e-01
1.859999999999999987e-01,6.415789029273616384e-01
1.869999999999999996e-01,5.693977134624710335e-01
1.880000000000000004e-01,5.816440574587147250e-01
1.890000000000000013e-01,5.178231444656877791e-01
1.900000000000000022e-01,5.065926296911194004e-01
1.910000000000000031e-01,4.277748440336838764e-01
1.920000000000000040e-01,4.276826115756005575e-01
1.930000000000000049e-01,3.819841370029037897e-01
1.940000000000000058e-01,4.268654882247942539e-01
1.950000000000000067e-01,4.095796925664767496e-01
1.960000000000000075e-01,4.060964342501415247e-01
1.970000000000000084e-01,4.255494810146811524e-01
1.980000000000000093e-01,4.615641322755769105e-01
1.990000000000000102e-01,4.962886121968815289e-01
2.000000000000000111e-01,4.937220084141384913e-01
2.010000000000000120e-01,5.249945916342726449e-01
2.020000000000000129e-01,5.446410233667098311e-01
2.030000000000000138e-01,5.808603511848744461e-01
2.040000000000000147e-01,6.087298103346696632e-01
2.050000000000000155e-01,5.809007385015462210e-01
2.060000000000000164e-01,5.838263562944803198e-01
2.070000000000000173e-01,5.920880691594198053e-01
2.080000000000000182e-01,5.726596893780484532e-01
2.089999999999999913e-01,5.217005530504922328e-01
2.099999999999999922e-01,5.123897636158754043e-01
2.109999999999999931e-01,4.751991176998813238e-01
2.119999999999999940e-01,4.289342988672130152e-01
2.129999999999999949e-01,3.980045079893423932e-01
2.139999999999999958e-01,3.873977161210267472e-01
2.149999999999999967e-01,3.954605459240680965e-01
2.159999999999999976e-01,3.841993664750170678e-01
2.169999999999999984e-01,3.873896162882922156e-01
2.179999999999999993e-01,4.147285906156764068e-01
2.190000000000000002e-01,4.431880360089259785e-01
2.200000000000000011e-01,4.961635688858552218e-01
2.210000000000000020e-01,5.160668446649893104e-01
2.220000000000000029e-01,5.342262651734418499e-01
2.230000000000000038e-01,5.563267840805656839e-01
2.240000000000000047e-01,5.846578194835999609e-01
2.250000000000000056e-01,6.137227912211145053e-01
2.260000000000000064e-01,5.487806404806065963e-01
2.270000000000000073e-01,5.773198202396109258e-01
2.280000000000000082e-01,5.151672487030528602e-01
2.290000000000000091e-01,5.356618427478242461e-01
2.300000000000000100e-01,4.670103692034406895e-01
2.310000000000000109e-01,4.357863539885387660e-01
2.320000000000000118e-01,3.874231327178881967e-01
2.330000000000000127e-01,4.220204849662526625e-01
2.340000000000000135e-01,3.532285955415042644e-01
2.350000000000000144e-01,3.366230525468759671e-01
2.360000000000000153e-01,3.382787026088932003e-01
2.370000000000000162e-01,4.193534528897284730e-01
2.380000000000000171e-01,3.994308899773995614e-01
2.390000000000000180e-01,4.182368748831449268e-01
2.399999999999999911e-01,4.514919304273624645e-01
2.409999999999999920e-01,4.982141066143207508e-01
2.419999999999999929e-01,5.015457829240022036e-01
2.429999999999999938e-01,5.391218642285467988e-01
2.439999999999999947e-01,5.586782091963989894e-01
2.449999999999999956e-01,5.717108855603565409e-01
2.459999999999999964e-01,5.533798287472251332e-01
2.469999999999999973e-01,5.327669144520744693e-01
2.479999999999999982e-01,5.247484524690044783e-01
2.489999999999999991e-01,4.927987541272776939e-01
2.500000000000000000e-01,4.444122247404290182e-01
2.510000000000000009e-01,4.212238640102360376e-01
2.520000000000000018e-01,3.704981918462405543e-01
2.530000000000000027e-01,3.490033659880878436e-01
2.540000000000000036e-01,3.697003984595358395e-01
2.550000000000000044e-01,3.312684531836007640e-01
2.560000000000000053e-01,3.292237158777717165e-01
2.570000000000000062e-01,3.580610396158993014e-01
2.580000000000000071e-01,3.910138219109039470e-01
2.590000000000000080e-01,4.054595010144648737e-01
2.600000000000000089e-01,4.705697313736183496e-01
2.610000000000000098e-01,4.749155028876597129e-01
2.620000000000000107e-01,4.906460729185423419e-01
2.630000000000000115e-01,4.742760601247332231e-01
2.640000000000000124e-01,5.285363907831963637e-01
2.650000000000000133e-01,5.300864111842140680e-01
2.660000000000000142e-01,4.905905015959601823e-01
2.670000000000000151e-01,4.852116055678062367e-01
2.680000000000000160e-01,4.445787668383849311e-01
2.690000000000000169e-01,4.330198134779700281e-01
2.700000000000000178e-01,4.081203488482080255e-01
2.710000000000000187e-01,3.636802566551760041e-01
2.720000000000000195e-01,3.421943468444620384e-01
2.730000000000000204e-01,2.860574391852857556e-01
2.740000000000000213e-01,3.032495237153453038e-01
2.750000000000000222e-01,2.876246820501031642e-01
2.760000000000000231e-01,3.059652180456203241e-01
2.770000000000000240e-01,2.644558660749069534e-01
2.780000000000000249e-01,3.338492282956737611e-01
2.790000000000000258e-01,3.665887563029106011e-01
2.800000000000000266e-01,3.452721630090053173e-01
2.810000000000000275e-01,4.002538326196598550e-01
2.820000000000000284e-01,4.132560991907204828e-01
2.830000000000000293e-01,4.340299367317433377e-01
2.840000000000000302e-01,4.884631176722690205e-01
2.850000000000000311e-01,4.539297474178799474e-01
2.860000000000000320e-01,4.394939996059682996e-01
2.870000000000000329e-01,4.262859925343110978e-01
2.880000000000000338e-01,4.052210127411834950e-01
2.889999999999999791e-01,3.519124699123900579e-01
2.899999999999999800e-01,3.345218370087634230e-01
2.909999999999999809e-01,3.361228594937815117e-01
2.919999999999999818e-01,2.638990571609918234e-01
2.929999999999999827e-01,2.519486907392305408e-01
2.939999999999999836e-01,2.083286118545423227e-01
2.949999999999999845e-01,2.606016831138583401e-01
2.959999999999999853e-01,2.533942532466033071e-01
2.969999999999999862e-01,2.335601092936331891e-01
2.979999999999999871e-01,2.861960498232957728e-01
2.989999999999999880e-01,2.964664522153751536e-01
2.999999999999999889e-01,3.447517725126565957e-01
3.009999999999999898e-01,3.524059554096740654e-01
3.019999999999999907e-01,3.934902102655948308e-01
3.029999999999999916e-01,4.084862728408195642e-01
3.039999999999999925e-01,4.159967551539071051e-01
3.049999999999999933e-01,4.213806618967201878e-01
3.059999999999999942e-01,4.214482053409350781e-01
3.069999999999999951e-01,4.043429496374550958e-01
3.079999999999999960e-01,3.551537221001648259e-01
3.089999999999999969e-01,3.138474625363495418e-01
3.099999999999999978e-01,2.873525325444677425e-01
3.109999999999999987e-01,2.724360590482221012e-01
3.119999999999999996e-01,2.444814892006730023e-01
3.130000000000000004e-01,1.815601796190818296e-01
3.140000000000000013e-01,1.630097092507922230e-01
3.150000000000000022e-01,1.431133286976650765e-01
3.160000000000000031e-01,1.632407385278534517e-01
3.170000000000000040e-01,1.655722953318050361e-01
3.180000000000000049e-01,1.892749252484887679e-01
3.190000000000000058e-01,2.083979999849186471e-01
3.200000000000000067e-01,2.225383920862448184e-01
3.210000000000000075e-01,2.540245610259700415e-01
3.220000000000000084e-01,2.921859477186795617e-01
3.230000000000000093e-01,2.998050554172219107e-01
3.240000000000000102e-01,3.442317821691051050e-01
3.250000000000000111e-01,3.402361789131940206e-01
3.260000000000000120e-01,3.287262129450609915e-01
